"Порядковый номер";"ID участника";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Дата выбора конкурсной группы по Москве"
1;1986750;2;"—";278;"90 94 91";3;"Участвуете в конкурсе";"11.07.2026 в 21:05"
2;2006009;6;"—";268;"80 92 86";10;"Участвуете в конкурсе";"15.07.2026 в 00:12"
3;1613091;3;"—";261;"88 84 89";0;"Участвуете в конкурсе";"04.07.2026 в 15:22"
4;963929;1;"—";259;"98 72 89";0;"Конкурсная группа исключена";"25.06.2026 в 10:57"
5;1547844;5;"—";259;"74 92 83";10;"Участвуете в конкурсе";"03.07.2026 в 16:46"
6;1988070;5;"—";258;"86 79 83";10;"Конкурсная группа исключена";"11.07.2026 в 22:49"
7;1894468;7;"—";254;"74 86 94";0;"Участвуете в конкурсе";"09.07.2026 в 16:05"
8;1531937;5;"Электронное";254;"80 86 78";10;"Участвуете в конкурсе";"13.07.2026 в 13:38"
9;1774734;3;"—";244;"76 85 73";10;"Участвуете в конкурсе";"07.07.2026 в 15:30"
10;1195156;4;"—";241;"78 72 91";0;"Участвуете в конкурсе";"28.06.2026 в 16:03"
11;1264628;1;"—";237;"78 71 78";10;"Участвуете в конкурсе";"29.06.2026 в 21:49"
12;1203526;1;"—";235;"74 68 83";10;"Участвуете в конкурсе";"28.06.2026 в 17:54"
13;1585777;2;"—";230;"78 70 72";10;"Участвуете в конкурсе";"03.07.2026 в 23:47"
14;1652213;1;"—";229;"80 66 73";10;"Участвуете в конкурсе";"09.07.2026 в 22:36"
15;1850416;3;"—";227;"74 70 73";10;"Участвуете в конкурсе";"08.07.2026 в 19:16"
16;1631880;1;"—";226;"78 73 75";0;"Конкурсная группа исключена";"05.07.2026 в 14:01"
17;1320289;1;"—";226;"76 57 83";10;"Участвуете в конкурсе";"30.06.2026 в 12:51"
18;1330997;7;"—";224;"78 64 72";10;"Участвуете в конкурсе";"01.07.2026 в 19:00"
19;2071945;6;"—";223;"74 77 72";0;"Передано в вуз";"15.07.2026 в 16:53"
20;1405764;2;"—";222;"76 58 78";10;"Участвуете в конкурсе";"09.07.2026 в 16:10"
21;1592100;3;"—";218;"78 60 72";8;"Участвуете в конкурсе";"12.07.2026 в 20:10"
22;1355786;3;"—";217;"76 72 66";3;"Участвуете в конкурсе";"30.06.2026 в 19:49"
23;1143850;2;"Электронное";213;"74 73 66";0;"Участвуете в конкурсе";"26.06.2026 в 12:33"
24;1364274;1;"—";213;"70 73 70";0;"Конкурсная группа исключена";"09.07.2026 в 17:36"
25;1780656;1;"—";213;"70 70 73";0;"Участвуете в конкурсе";"07.07.2026 в 16:42"
26;1201531;4;"Электронное";211;"74 64 63";10;"Участвуете в конкурсе";"13.07.2026 в 18:56"
27;1482064;1;"—";207;"72 62 70";3;"Участвуете в конкурсе";"10.07.2026 в 17:11"
28;1826478;6;"Электронное";207;"70 57 72";8;"Участвуете в конкурсе";"08.07.2026 в 13:27"
29;1255269;1;"—";207;"52 79 66";10;"Участвуете в конкурсе";"29.06.2026 в 21:36"
30;1180415;1;"Электронное";204;"78 59 67";0;"Участвуете в конкурсе";"27.06.2026 в 22:13"
31;1348139;3;"—";204;"64 79 58";3;"Участвуете в конкурсе";"30.06.2026 в 17:38"
32;1444079;1;"—";203;"58 67 78";0;"Участвуете в конкурсе";"01.07.2026 в 23:37"
33;1915381;1;"—";203;"74 52 67";10;"Участвуете в конкурсе";"10.07.2026 в 00:00"
34;1714543;1;"—";202;"58 61 83";0;"Участвуете в конкурсе";"06.07.2026 в 17:51"
35;1424181;5;"—";201;"72 54 75";0;"Участвуете в конкурсе";"01.07.2026 в 17:18"
36;1575918;7;"—";201;"74 57 67";3;"Участвуете в конкурсе";"03.07.2026 в 19:00"
37;1491435;5;"—";201;"76 64 57";4;"Участвуете в конкурсе";"02.07.2026 в 15:39"
38;2055803;1;"—";200;"64 66 70";0;"Участвуете в конкурсе";"14.07.2026 в 00:24"
39;1284297;2;"—";198;"70 56 72";0;"Участвуете в конкурсе";"03.07.2026 в 19:16"
40;1756665;1;"Электронное";198;"58 71 66";3;"Участвуете в конкурсе";"07.07.2026 в 13:48"
41;1309743;1;"—";197;"70 58 69";0;"Участвуете в конкурсе";"30.06.2026 в 11:11"
42;1164183;1;"—";196;"58 68 69";1;"Участвуете в конкурсе";"27.06.2026 в 11:10"
43;1568010;3;"—";196;"70 55 61";10;"Участвуете в конкурсе";"06.07.2026 в 14:08"
44;1774648;4;"—";196;"52 70 64";10;"Участвуете в конкурсе";"07.07.2026 в 15:29"
45;1059704;2;"Электронное";195;"64 62 69";0;"Участвуете в конкурсе";"02.07.2026 в 02:00"
